user_id,region,acquisition_channel,join_date
1,East,Paid Social,2023-01-01
2,West,Referral,2023-01-02
3,North,Organic,2023-01-03
4,East,Organic,2023-01-04
5,East,Organic,2023-01-05
6,West,Organic,2023-01-06
7,North,Email,2023-01-07
8,North,Organic,2023-01-08
9,East,Email,2023-01-09
10,South,Email,2023-01-10
11,East,Organic,2023-01-11
12,East,Organic,2023-01-12
13,East,Paid Social,2023-01-13
14,East,Referral,2023-01-14
15,West,Organic,2023-01-15
16,North,Paid Social,2023-01-16
17,West,Paid Social,2023-01-17
18,West,Referral,2023-01-18
19,West,Email,2023-01-19
20,East,Organic,2023-01-20
21,South,Referral,2023-01-21
22,North,Organic,2023-01-22
23,South,Paid Social,2023-01-23
24,West,Paid Social,2023-01-24
25,West,Email,2023-01-25
26,South,Paid Social,2023-01-26
27,South,Paid Social,2023-01-27
28,South,Referral,2023-01-28
29,West,Organic,2023-01-29
30,West,Organic,2023-01-30
31,North,Referral,2023-01-31
32,North,Email,2023-02-01
33,West,Organic,2023-02-02
34,South,Paid Social,2023-02-03
35,South,Organic,2023-02-04
36,North,Paid Social,2023-02-05
37,West,Email,2023-02-06
38,North,Referral,2023-02-07
39,North,Organic,2023-02-08
40,East,Referral,2023-02-09
41,East,Organic,2023-02-10
42,East,Paid Social,2023-02-11
43,South,Referral,2023-02-12
44,West,Organic,2023-02-13
45,West,Paid Social,2023-02-14
46,West,Referral,2023-02-15
47,West,Referral,2023-02-16
48,East,Organic,2023-02-17
49,South,Organic,2023-02-18
50,South,Organic,2023-02-19
51,East,Paid Social,2023-02-20
52,South,Organic,2023-02-21
53,East,Referral,2023-02-22
54,West,Referral,2023-02-23
55,East,Organic,2023-02-24
56,West,Organic,2023-02-25
57,West,Email,2023-02-26
58,North,Referral,2023-02-27
59,East,Paid Social,2023-02-28
60,North,Email,2023-03-01
61,East,Organic,2023-03-02
62,East,Organic,2023-03-03
63,North,Referral,2023-03-04
64,North,Organic,2023-03-05
65,East,Paid Social,2023-03-06
66,South,Referral,2023-03-07
67,West,Organic,2023-03-08
68,North,Referral,2023-03-09
69,West,Organic,2023-03-10
70,South,Organic,2023-03-11
71,South,Organic,2023-03-12
72,South,Paid Social,2023-03-13
73,North,Paid Social,2023-03-14
74,South,Referral,2023-03-15
75,North,Organic,2023-03-16
76,South,Organic,2023-03-17
77,West,Paid Social,2023-03-18
78,West,Organic,2023-03-19
79,East,Paid Social,2023-03-20
80,West,Organic,2023-03-21
81,East,Referral,2023-03-22
82,West,Organic,2023-03-23
83,North,Organic,2023-03-24
84,West,Email,2023-03-25
85,East,Paid Social,2023-03-26
86,East,Organic,2023-03-27
87,South,Organic,2023-03-28
88,North,Email,2023-03-29
89,West,Email,2023-03-30
90,South,Paid Social,2023-03-31
91,West,Email,2023-04-01
92,West,Referral,2023-04-02
93,South,Email,2023-04-03
94,South,Referral,2023-04-04
95,South,Paid Social,2023-04-05
96,South,Paid Social,2023-04-06
97,South,Paid Social,2023-04-07
98,West,Paid Social,2023-04-08
99,South,Paid Social,2023-04-09
100,North,Referral,2023-04-10
101,East,Referral,2023-04-11
102,South,Paid Social,2023-04-12
103,South,Email,2023-04-13
104,West,Organic,2023-04-14
105,South,Paid Social,2023-04-15
106,South,Email,2023-04-16
107,South,Organic,2023-04-17
108,West,Paid Social,2023-04-18
109,South,Paid Social,2023-04-19
110,East,Referral,2023-04-20
111,West,Organic,2023-04-21
112,East,Organic,2023-04-22
113,West,Email,2023-04-23
114,South,Referral,2023-04-24
115,East,Referral,2023-04-25
116,West,Referral,2023-04-26
117,North,Referral,2023-04-27
118,South,Organic,2023-04-28
119,West,Organic,2023-04-29
120,North,Paid Social,2023-04-30
121,West,Paid Social,2023-05-01
122,North,Referral,2023-05-02
123,South,Referral,2023-05-03
124,East,Referral,2023-05-04
125,North,Paid Social,2023-05-05
126,West,Email,2023-05-06
127,South,Email,2023-05-07
128,North,Paid Social,2023-05-08
129,West,Paid Social,2023-05-09
130,West,Paid Social,2023-05-10
131,West,Paid Social,2023-05-11
132,North,Paid Social,2023-05-12
133,North,Paid Social,2023-05-13
